dateTime,open,high,low,close,volume
2021-02-05 21-00-00,0.04626090,0.04650000,0.04575000,0.04642800,198140912.00000000
2021-02-05 22-00-00,0.04642750,0.04747200,0.04618730,0.04745010,425610606.00000000
2021-02-05 23-00-00,0.04745020,0.04748000,0.04629320,0.04671930,272788811.00000000
2021-02-06 00-00-00,0.04675270,0.04686280,0.04567890,0.04569430,297547499.00000000
2021-02-06 01-00-00,0.04568280,0.04629900,0.04441910,0.04529650,377013822.00000000
2021-02-06 02-00-00,0.04524090,0.04650000,0.04506230,0.04592200,193438534.00000000
2021-02-06 03-00-00,0.04595130,0.04650000,0.04545770,0.04612800,136976761.00000000
2021-02-06 04-00-00,0.04617590,0.05130050,0.04601780,0.05099970,2081714754.00000000
2021-02-06 05-00-00,0.05092290,0.05116780,0.04876840,0.04926290,1224229744.00000000
2021-02-06 06-00-00,0.04926290,0.04955830,0.04803430,0.04910920,594765036.00000000
2021-02-06 07-00-00,0.04914970,0.04920300,0.04785180,0.04853640,438057840.00000000
2021-02-06 08-00-00,0.04853700,0.04900000,0.04800000,0.04889150,412970350.00000000
2021-02-06 09-00-00,0.04887720,0.04890270,0.04820000,0.04888680,289915949.00000000
2021-02-06 10-00-00,0.04888770,0.05088400,0.04880700,0.04904310,804559099.00000000
2021-02-06 11-00-00,0.04906010,0.04954000,0.04841170,0.04888000,403370698.00000000
2021-02-06 12-00-00,0.04889210,0.04956560,0.04876000,0.04885700,248027893.00000000
2021-02-06 13-00-00,0.04888310,0.04950000,0.04853700,0.04910550,272487170.00000000
2021-02-06 14-00-00,0.04911530,0.05050000,0.04905000,0.04996930,470793156.00000000
2021-02-06 15-00-00,0.04996430,0.05150000,0.04995350,0.05057100,824811533.00000000
2021-02-06 16-00-00,0.05055700,0.05107130,0.04961100,0.05061050,461340423.00000000
2021-02-06 17-00-00,0.05062400,0.05090000,0.05025300,0.05060000,378519931.00000000
2021-02-06 18-00-00,0.05063350,0.05387800,0.04960070,0.05285360,1372882070.00000000
2021-02-06 19-00-00,0.05285500,0.05500000,0.05182240,0.05321010,1572420298.00000000
2021-02-06 20-00-00,0.05321040,0.05412760,0.05144880,0.05387680,793012114.00000000
2021-02-06 21-00-00,0.05384960,0.05477330,0.05300000,0.05353490,639639144.00000000
2021-02-06 22-00-00,0.05353300,0.05769600,0.05300000,0.05736550,1311676422.00000000
2021-02-06 23-00-00,0.05739800,0.05886830,0.05520000,0.05765590,1652315604.00000000
2021-02-07 00-00-00,0.05765790,0.05983120,0.05615960,0.05980310,1212302364.00000000
2021-02-07 01-00-00,0.05983070,0.06565000,0.05720000,0.05891430,3548805803.00000000
2021-02-07 02-00-00,0.05891620,0.05994980,0.05360950,0.05899990,2336446965.00000000
2021-02-07 03-00-00,0.05896440,0.05958960,0.05673410,0.05710700,950174359.00000000
2021-02-07 04-00-00,0.05710730,0.05740020,0.05314460,0.05600000,1044033028.00000000
2021-02-07 05-00-00,0.05600840,0.05686860,0.05400910,0.05635610,712400482.00000000
2021-02-07 06-00-00,0.05635320,0.05884990,0.05632630,0.05724000,711387558.00000000
2021-02-07 07-00-00,0.05724200,0.06300000,0.05682060,0.06124460,1573079337.00000000
2021-02-07 08-00-00,0.06124360,0.06170000,0.05814050,0.05931940,1118066943.00000000
2021-02-07 09-00-00,0.05931580,0.06188000,0.05835720,0.06133660,783495602.00000000
2021-02-07 10-00-00,0.06133970,0.06139960,0.05930000,0.06004060,537953025.00000000
2021-02-07 11-00-00,0.06008770,0.06095000,0.05842800,0.06054050,596142740.00000000
2021-02-07 12-00-00,0.06054000,0.06079760,0.05924570,0.05999110,455228106.00000000
2021-02-07 13-00-00,0.06000000,0.06267400,0.05970300,0.06095270,990552849.00000000
2021-02-07 14-00-00,0.06094940,0.06320000,0.05950000,0.06240730,928058901.00000000
2021-02-07 15-00-00,0.06240960,0.06429000,0.06050000,0.06360320,1423180795.00000000
2021-02-07 16-00-00,0.06360320,0.06950000,0.06358020,0.06807090,3045702807.00000000
2021-02-07 17-00-00,0.06804720,0.07200000,0.06568000,0.06992500,1813926990.00000000
2021-02-07 18-00-00,0.06999990,0.07650000,0.06954570,0.07253920,3535901107.00000000
2021-02-07 19-00-00,0.07238670,0.07480000,0.06815010,0.06905310,2243096459.00000000
2021-02-07 20-00-00,0.06901000,0.07360810,0.06880000,0.07273960,1171305945.00000000
2021-02-07 21-00-00,0.07273840,0.07799900,0.07220000,0.07739910,1459656857.00000000
2021-02-07 22-00-00,0.07732530,0.08729700,0.07686370,0.08120460,4283987536.00000000
2021-02-07 23-00-00,0.08123810,0.08384700,0.07712210,0.07792470,2362959740.00000000
2021-02-08 00-00-00,0.07798510,0.07817210,0.06930000,0.06952600,2830225707.00000000
2021-02-08 01-00-00,0.06948480,0.07817210,0.06917400,0.07630660,1723727442.00000000
2021-02-08 02-00-00,0.07633000,0.07660560,0.07145330,0.07150460,972092936.00000000
2021-02-08 03-00-00,0.07154500,0.07199990,0.06222140,0.06609920,2600127428.00000000
2021-02-08 04-00-00,0.06609890,0.07260000,0.06595010,0.07103440,1081436148.00000000
2021-02-08 05-00-00,0.07107170,0.07410000,0.06954800,0.07082460,874962726.00000000
2021-02-08 06-00-00,0.07082460,0.07284260,0.07050000,0.07136400,628993589.00000000
2021-02-08 07-00-00,0.07136490,0.07194420,0.06750700,0.07181430,955547693.00000000
2021-02-08 08-00-00,0.07178020,0.07334430,0.06969480,0.07268440,629156294.00000000
2021-02-08 09-00-00,0.07268250,0.07587210,0.07230550,0.07461370,1031284822.00000000
2021-02-08 10-00-00,0.07456080,0.07777770,0.07364050,0.07439930,1086903011.00000000
2021-02-08 11-00-00,0.07441600,0.07574260,0.07394710,0.07502330,545630110.00000000
2021-02-08 12-00-00,0.07504610,0.07530000,0.07250000,0.07392180,615289382.00000000
2021-02-08 13-00-00,0.07392150,0.08123000,0.07000000,0.07787130,1416678911.00000000
2021-02-08 14-00-00,0.07784170,0.08447470,0.07610020,0.08197160,1769539351.00000000
2021-02-08 15-00-00,0.08200040,0.08535550,0.08061780,0.08128730,1632189693.00000000
2021-02-08 16-00-00,0.08128430,0.08490000,0.07910000,0.08079970,1138143430.00000000
2021-02-08 17-00-00,0.08079800,0.08169700,0.07730180,0.07875800,894206576.00000000
2021-02-08 18-00-00,0.07871990,0.07990000,0.07562000,0.07657330,828825197.00000000
2021-02-08 19-00-00,0.07657340,0.08120000,0.07648320,0.07994560,744812742.00000000
2021-02-08 20-00-00,0.07994560,0.08190000,0.07876000,0.08151110,529047436.00000000
2021-02-08 21-00-00,0.08152430,0.08161390,0.07800000,0.07902610,546250410.00000000
2021-02-08 22-00-00,0.07895980,0.08100000,0.07610000,0.07700000,600639833.00000000
2021-02-08 23-00-00,0.07705480,0.08042400,0.07579280,0.07870000,711308480.00000000
