dateTime,open,high,low,close,volume
2021-02-01 23-15-00,0.03521030,0.03521090,0.03382990,0.03432380,139729126.00000000
2021-02-01 23-30-00,0.03432380,0.03491520,0.03403850,0.03471470,102641233.00000000
2021-02-01 23-45-00,0.03474680,0.03550000,0.03461000,0.03481730,86592251.00000000
2021-02-02 00-00-00,0.03482330,0.03526660,0.03369870,0.03438540,117996757.00000000
2021-02-02 00-15-00,0.03438540,0.03450530,0.03175250,0.03182000,295633093.00000000
2021-02-02 00-30-00,0.03180000,0.03330950,0.03176530,0.03211810,273602503.00000000
2021-02-02 00-45-00,0.03214120,0.03215000,0.02877000,0.03058960,838382793.00000000
2021-02-02 01-00-00,0.03058850,0.03195560,0.03018900,0.03171340,396640700.00000000
2021-02-02 01-15-00,0.03169590,0.03242350,0.03123140,0.03182520,212476705.00000000
2021-02-02 01-30-00,0.03180010,0.03350000,0.03180010,0.03328350,234282046.00000000
2021-02-02 01-45-00,0.03328300,0.03328300,0.03226000,0.03327550,173951924.00000000
2021-02-02 02-00-00,0.03321900,0.03329230,0.03170000,0.03209980,175627752.00000000
2021-02-02 02-15-00,0.03209980,0.03229900,0.03170460,0.03193470,87903944.00000000
2021-02-02 02-30-00,0.03193710,0.03214480,0.03115660,0.03191580,117789908.00000000
2021-02-02 02-45-00,0.03195650,0.03200000,0.03137040,0.03182690,71381387.00000000
2021-02-02 03-00-00,0.03181010,0.03207880,0.03144270,0.03161700,75612030.00000000
2021-02-02 03-15-00,0.03164470,0.03242000,0.03150000,0.03219540,94642803.00000000
2021-02-02 03-30-00,0.03219620,0.03316490,0.03219620,0.03276680,157553060.00000000
2021-02-02 03-45-00,0.03276680,0.03278700,0.03234710,0.03271130,63801936.00000000
2021-02-02 04-00-00,0.03271230,0.03338050,0.03259180,0.03323820,100218189.00000000
2021-02-02 04-15-00,0.03327650,0.03410960,0.03316540,0.03408500,131417894.00000000
2021-02-02 04-30-00,0.03406010,0.03411760,0.03330000,0.03358210,80088265.00000000
2021-02-02 04-45-00,0.03357890,0.03365300,0.03284600,0.03297920,98154566.00000000
2021-02-02 05-00-00,0.03297940,0.03309550,0.03247010,0.03300180,115913386.00000000
2021-02-02 05-15-00,0.03300180,0.03336740,0.03269950,0.03286540,86092896.00000000
2021-02-02 05-30-00,0.03285070,0.03349680,0.03270000,0.03346720,55176499.00000000
2021-02-02 05-45-00,0.03348040,0.03367460,0.03303200,0.03350220,64649871.00000000
